UniProt	GeneSymbol	ChEMBL	PrefName	TaxID	Organism
P23316	CHS1	CHEMBL3480	Chitin synthase 1	5476	Candida albicans
Q9ET64	Smpd2	CHEMBL3528	Neutral sphingomyelinase	10116	Rattus norvegicus
Q12908	SLC10A2	CHEMBL2778	Ileal bile acid transporter	9606	Homo sapiens
P30989	NTSR1	CHEMBL4123	Neurotensin receptor 1	9606	Homo sapiens
P11712	CYP2C9	CHEMBL3397	Cytochrome P450 2C9	9606	Homo sapiens
P33261	CYP2C19	CHEMBL3622	Cytochrome P450 2C19	9606	Homo sapiens
Q02763	TEK	CHEMBL4128	Tyrosine-protein kinase TIE-2	9606	Homo sapiens
P25963	NFKBIA	CHEMBL2898	NF-kappaB inhibitor alpha	9606	Homo sapiens
Q14164	IKBKE	CHEMBL3529	Inhibitor of nuclear factor kappa B kinase epsilon subunit	9606	Homo sapiens
O14733	MAP2K7	CHEMBL3530	Dual specificity mitogen-activated protein kinase kinase 7	9606	Homo sapiens
P35610	SOAT1	CHEMBL2782	Acyl coenzyme A:cholesterol acyltransferase 1	9606	Homo sapiens
Q64133	Maoa	CHEMBL3681	Monoamine oxidase A	10090	Mus musculus
Q8N1Q1	CA13	CHEMBL3912	Carbonic anhydrase XIII	9606	Homo sapiens
P56199	ITGA1	CHEMBL3682	Integrin alpha-1	9606	Homo sapiens
Q9TT93	ADAMTS4	CHEMBL3874	ADAMTS4	9913	Bos taurus
P51787	KCNQ1	CHEMBL1866	Voltage-gated potassium channel subunit Kv7.1	9606	Homo sapiens
P03887	MT-ND1	CHEMBL4497	NADH-ubiquinone oxidoreductase chain 1	9913	Bos taurus
P00787	Ctsb	CHEMBL2602	Cathepsin B	10116	Rattus norvegicus
P03898	MT-ND3	CHEMBL4498	NADH-ubiquinone oxidoreductase chain 3	9913	Bos taurus
P03905	MT-ND4	CHEMBL4499	NADH-ubiquinone oxidoreductase chain 4	9606	Homo sapiens
P00730	CPA1	CHEMBL3481	Carboxypeptidase A1	9913	Bos taurus
P15088	CPA3	CHEMBL2645	Mast cell carboxypeptidase A	9606	Homo sapiens
O60256	PRPSAP2	CHEMBL2646	Phosphoribosyl pyrophosphate synthetase-associated protein 2	9606	Homo sapiens
Q16572	SLC18A3	CHEMBL4767	Vesicular acetylcholine transporter	9606	Homo sapiens
P23443	RPS6KB1	CHEMBL4501	Ribosomal protein S6 kinase 1	9606	Homo sapiens
P32320	CDA	CHEMBL4502	Cytidine deaminase	9606	Homo sapiens
P11802	CDK4	CHEMBL331	Cyclin-dependent kinase 4	9606	Homo sapiens
Q00535	CDK5	CHEMBL4036	Cyclin-dependent kinase 5	9606	Homo sapiens
P18886	Cpt2	CHEMBL4037	Carnitine palmitoyltransferase 2	10116	Rattus norvegicus
P05093	CYP17A1	CHEMBL3522	Cytochrome P450 17A1	9606	Homo sapiens
P35400	Grm7	CHEMBL3879	Metabotropic glutamate receptor 7	10116	Rattus norvegicus
P47743	Grm8	CHEMBL4626	Metabotropic glutamate receptor 8	10090	Mus musculus
Q16790	CA9	CHEMBL3594	Carbonic anhydrase IX	9606	Homo sapiens
O75493	CA11	CHEMBL2420	Carbonic anhydrase-related protein 2	9606	Homo sapiens
P07384	CAPN1	CHEMBL3891	Calpain 1	9606	Homo sapiens
Q14831	GRM7	CHEMBL3777	Metabotropic glutamate receptor 7	9606	Homo sapiens
Q32MK0	MYLK3	CHEMBL4627	Myosin light chain kinase	9606	Homo sapiens
P00366	GLUD1	CHEMBL4628	Glutamate dehydrogenase	9913	Bos taurus
P08603	CFH	CHEMBL4629	Complement factor H	9606	Homo sapiens
P35370	Oprl1	CHEMBL4503	Nociceptin receptor	10116	Rattus norvegicus
P52757	CHN2	CHEMBL4504	Rho-GTPase-activating protein 3	9606	Homo sapiens
O14757	CHEK1	CHEMBL4630	Serine/threonine-protein kinase Chk1	9606	Homo sapiens
O43614	HCRTR2	CHEMBL4792	Orexin receptor 2	9606	Homo sapiens
O15547	P2RX6	CHEMBL2670	P2X purinoceptor 6	9606	Homo sapiens
P11715	Cyp17a1	CHEMBL4430	Cytochrome P450 17A1	10116	Rattus norvegicus
P15348	Top2	CHEMBL2671	DNA topoisomerase II	7227	Drosophila melanogaster
P20456	IMPA1	CHEMBL4505	Inositol-1(or 4)-monophosphatase 1	9913	Bos taurus
P98174	FGD1	CHEMBL2862	Rho/Rac guanine nucleotide exchange factor	9606	Homo sapiens
P53778	MAPK12	CHEMBL4674	MAP kinase p38 gamma	9606	Homo sapiens
Q9NQ66	PLCB1	CHEMBL4034	Phospholipase C-beta-1	9606	Homo sapiens
O43525	KCNQ3	CHEMBL2684	Voltage-gated potassium channel subunit Kv7.3	9606	Homo sapiens
P47866	Crhr2	CHEMBL3581	Corticotropin releasing factor receptor 2	10116	Rattus norvegicus
Q64560	Tpp2	CHEMBL4675	Tripeptidyl aminopeptidase	10116	Rattus norvegicus
P36873	PPP1CC	CHEMBL4438	Serine/threonine protein phosphatase PP1-gamma catalytic subunit	9606	Homo sapiens
P03956	MMP1	CHEMBL332	Matrix metalloproteinase-1	9606	Homo sapiens
P08253	MMP2	CHEMBL333	Matrix metalloproteinase-2	9606	Homo sapiens
P36897	TGFBR1	CHEMBL4439	TGF-beta receptor type I	9606	Homo sapiens
P06870	KLK1	CHEMBL2319	Kallikrein 1	9606	Homo sapiens
Q6AY53	Dhps	CHEMBL2539	Deoxyhypusine synthase	10116	Rattus norvegicus
P08123	COL1A2	CHEMBL2685	Collagen alpha 2 chain	9606	Homo sapiens
P21462	FPR1	CHEMBL3359	Formyl peptide receptor 1	9606	Homo sapiens
Q8DNV6	murF	CHEMBL4319	UDP-N-acetylmuramoylalanine-D-glutamyl-lysine-D-alanyl-D-alanine ligase	171101	Streptococcus pneumoniae R6
Q8Z9J9	folA	CHEMBL4888	Dihydrofolate reductase	90370	Salmonella enterica subsp. enterica serovar Typhi
P03958	Ada	CHEMBL3206	Adenosine deaminase	10090	Mus musculus
P30875	Sstr2	CHEMBL3207	Somatostatin receptor 2	10090	Mus musculus
P52624	Upp1	CHEMBL3718	Uridine phosphorylase 1	10090	Mus musculus
P62965	Crabp1	CHEMBL3208	Cellular retinoic acid-binding protein I	10090	Mus musculus
Q9Y2Q3	GSTK1	CHEMBL4491	Glutathione S-transferase kappa 1	9606	Homo sapiens
P10111	Ppia	CHEMBL2780	Cyclophilin A	10116	Rattus norvegicus
P35355	Ptgs2	CHEMBL2977	Cyclooxygenase-2	10116	Rattus norvegicus
Q76059	gag	CHEMBL3800	Human immunodeficiency virus 1 nucleocapsid	11676	Human immunodeficiency virus 1
P14100	PDE1A	CHEMBL3774	Phosphodiesterase 1A	9913	Bos taurus
P37059	HSD17B2	CHEMBL2789	Estradiol 17-beta-dehydrogenase 2	9606	Homo sapiens
P09417	QDPR	CHEMBL3730	Dihydropteridine reductase	9606	Homo sapiens
P15559	NQO1	CHEMBL3623	Quinone reductase 1)	9606	Homo sapiens
Q16647	PTGIS	CHEMBL4428	Prostaglandin I2 synthase	9606	Homo sapiens
P18031	PTPN1	CHEMBL335	Protein-tyrosine phosphatase 1B	9606	Homo sapiens
P24046	GABRR1	CHEMBL3561	GABA receptor rho-1 subunit	9606	Homo sapiens
P30553	Cckbr	CHEMBL3508	Cholecystokinin B receptor	10116	Rattus norvegicus
P06537	Nr3c1	CHEMBL3144	Glucocorticoid receptor	10090	Mus musculus
Q9CWJ9	Atic	CHEMBL2277	AICAR transformylase	10090	Mus musculus
P17439	Gba	CHEMBL2278	Beta-glucocerebrosidase	10090	Mus musculus
P54098	POLG	CHEMBL2732	DNA polymerase gamma subunit 1	9606	Homo sapiens
P23978	Slc6a1	CHEMBL4054	GABA transporter 1	10116	Rattus norvegicus
P23977	Slc6a3	CHEMBL338	Dopamine transporter	10116	Rattus norvegicus
Q64326	Mc2r	CHEMBL2279	Melanocortin receptor 2	10090	Mus musculus
P01161	Nppa	CHEMBL4287	Atrial natriuretic factor	10116	Rattus norvegicus
P18440	NAT1	CHEMBL5101	Arylamine N-acetyltransferase 1	9606	Homo sapiens
P12938	Cyp2d3	CHEMBL3057	Cytochrome P450 2D3	10116	Rattus norvegicus
P61169	Drd2	CHEMBL339	Dopamine D2 receptor	10116	Rattus norvegicus
P04608	tat	CHEMBL4011	Human immunodeficiency virus type 1 Tat protein	11706	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1)
Q77YF8	rev	CHEMBL3852	Human immunodeficiency virus type 1 REV	11676	Human immunodeficiency virus 1
P04578	env	CHEMBL3520	Envelope polyprotein GP160	11706	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1)
P31074	folA	CHEMBL3853	Dihydrofolate reductase	548	Enterobacter aerogenes
P63640	murI	CHEMBL3854	Glutamate racemase	170187	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
Q59487	folA	CHEMBL4012	Dihydrofolate reductase	272623	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcuslactis)
Q6QCL9	ORF36	CHEMBL4008	Human herpesvirus 3 deoxypyrimidine kinase	10335	Human herpesvirus 3
P28857	U38	CHEMBL4009	Human herpesvirus 6 DNA polymerase	10370	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus)
P24433	U53	CHEMBL4010	Human herpesvirus 6 protease	10370	Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus)
P10210	UL26	CHEMBL3518	Human herpesvirus 1 protease	10299	Herpes simplex virus (type 1 / strain 17)
Q9Y0I0	AT1	CHEMBL2601	Adenosine transporter 1	5691	Trypanosoma brucei
Q75Z89	HTR2A	CHEMBL3446	Serotonin 2a (5-HT2a) receptor	9913	Bos taurus
P04055	Pla2g1b	CHEMBL5016	Phospholipase A2 group 1B	10116	Rattus norvegicus
Q6P762	Man2b1	CHEMBL3448	Mannosidase 2, alpha B1	10116	Rattus norvegicus
Q9GK37	Serpina6	CHEMBL3449	Corticosteroid binding globulin	9823	Sus scrofa
O02667	ADORA3	CHEMBL2603	Adenosine A3 receptor	9986	Oryctolagus cuniculus
O35077	Gpd1	CHEMBL3971	Glycerol-3-phosphate dehydrogenase	10116	Rattus norvegicus
O42275	ache	CHEMBL4078	Acetylcholinesterase	8005	Electrophorus electricus
O62664	PTGS1	CHEMBL2860	Cyclooxygenase-1	9913	Bos taurus
O70129	C5AR1	CHEMBL2861	C5a anaphylatoxin chemotactic receptor	10141	Cavia porcellus
O70526	BDKRB2	CHEMBL4111	Bradykinin B2 receptor	10141	Cavia porcellus
O75106	AOC2	CHEMBL4112	Retina-specific amine oxidase, copper containing	9606	Homo sapiens
O77240	EcR	CHEMBL4113	Ecdysone receptor	7141	Choristoneura fumiferana
O77636	ADAM17	CHEMBL3332	ADAM17	9823	Sus scrofa
O77823	PDE4A	CHEMBL3333	Phosphodiesterase 4A	9823	Sus scrofa
O97554	PTGS1	CHEMBL3334	Cyclooxygenase-1	9986	Oryctolagus cuniculus
P00176	Cyp2b1	CHEMBL3335	Cytochrome P450 2B1	10116	Rattus norvegicus
P00346	MDH2	CHEMBL3444	Malate dehydrogenase mitochondrial	9823	Sus scrofa
P00523	SRC	CHEMBL3655	Tyrosine-protein kinase SRC	9031	Gallus gallus
P00743	F10	CHEMBL3656	Coagulation factor X	9913	Bos taurus
P00956	ileS	CHEMBL3657	Isoleucyl-tRNA synthetase	83333	Escherichia coli K-12
P02550	TUBA1A	CHEMBL3658	Tubulin alpha chain	9823	Sus scrofa
P02751	FN1	CHEMBL3810	Fibronectin	9606	Homo sapiens
P02753	RBP4	CHEMBL3100	Plasma retinol-binding protein	9606	Homo sapiens
P03359	pol	CHEMBL2983	Simian sarcoma virus Pol protein	11970	Woolly monkey sarcoma virus
P08684	CYP3A4	CHEMBL340	Cytochrome P450 3A4	9606	Homo sapiens
P05979	PTGS1	CHEMBL2949	Cyclooxygenase-1	9940	Ovis aries
P0A9A6	ftsZ	CHEMBL3999	Cell division protein ftsZ	83333	Escherichia coli K-12
P06186	PGR	CHEMBL3456	Progesterone receptor	9986	Oryctolagus cuniculus
P08236	GUSB	CHEMBL2728	Beta-glucuronidase	9606	Homo sapiens
P08289	Alpl	CHEMBL2729	Alkaline phosphatase tissue-nonspecific	10116	Rattus norvegicus
P10608	Adrb2	CHEMBL3754	Beta-2 adrenergic receptor	10116	Rattus norvegicus
P11151	LPL	CHEMBL3064	Lipoprotein lipase	9913	Bos taurus
P15122	AKR1B1	CHEMBL3567	Aldose reductase	9986	Oryctolagus cuniculus
P15381	CACNA1C	CHEMBL2830	Voltage-gated L-type calcium channel alpha-1C subunit	9986	Oryctolagus cuniculus
P15709	St2a1	CHEMBL3007	Alcohol sulfotransferase	10116	Rattus norvegicus
P16116	AKR1B1	CHEMBL3081	Aldose reductase	9913	Bos taurus
P18065	IGFBP2	CHEMBL3088	Insulin-like growth factor binding protein 2	9606	Homo sapiens
P18841	ADRA1B	CHEMBL3122	Alpha-1b adrenergic receptor	10036	Mesocricetus auratus
P20789	Ntsr1	CHEMBL3027	Neurotensin receptor 1	10116	Rattus norvegicus
P23576	Gabra2	CHEMBL341	GABA receptor alpha-2 subunit	10116	Rattus norvegicus
P23795	ACHE	CHEMBL4768	Acetylcholinesterase	9913	Bos taurus
P27158	Tk1	CHEMBL4022	Thymidine kinase	10116	Rattus norvegicus
P27922	SLC6A3	CHEMBL2986	Dopamine transporter	9913	Bos taurus
P28720	tgt	CHEMBL2987	tRNA-guanine transglycosylase	264203	Zymomonas mobilis (strain ATCC 31821 / ZM4 / CP4)
P29994	Itpr1	CHEMBL2804	Inositol 1,4,5-trisphosphate receptor type 1	10116	Rattus norvegicus
P30122	CEL	CHEMBL2988	Cholesterol esterase	9913	Bos taurus
P30547	TACR1	CHEMBL3942	Neurokinin 1 receptor	10141	Cavia porcellus
P31389	HRH1	CHEMBL3943	Histamine H1 receptor	10141	Cavia porcellus
P32244	Mc3r	CHEMBL4023	Melanocortin receptor 3	10116	Rattus norvegicus
P32307	AVPR2	CHEMBL3944	Vasopressin V2 receptor	9823	Sus scrofa
P32738	Chat	CHEMBL3945	Choline acetylase	10116	Rattus norvegicus
P34948	PMI1	CHEMBL3946	Mannose-6-phosphate isomerase	237561	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
P34970	ADORA1	CHEMBL3947	Adenosine A1 receptor	9986	Oryctolagus cuniculus
P34976	AGTR1	CHEMBL3948	Angiotensin II type 1a (AT-1a) receptor	9986	Oryctolagus cuniculus
P35463	EDNRB	CHEMBL3949	Endothelin receptor ET-B	9823	Sus scrofa
P41144	OPRK1	CHEMBL3952	Kappa opioid receptor	10141	Cavia porcellus
P43367	CAPN2	CHEMBL4143	Calpain 2	9823	Sus scrofa
P46616	ADORA2A	CHEMBL2605	Adenosine A2a receptor	10141	Cavia porcellus
P48999	Alox5	CHEMBL5211	Arachidonate 5-lipoxygenase	10090	Mus musculus
P49743	Rxrb	CHEMBL2805	Retinoid X receptor beta	10116	Rattus norvegicus
P49884	ESR1	CHEMBL2930	Estrogen receptor alpha	9913	Bos taurus
P51647	Aldh1a1	CHEMBL2931	Aldehyde dehydrogenase 1A1	10116	Rattus norvegicus
P53341	MAL12	CHEMBL2932	Alpha-glucosidase MAL12	559292	Saccharomyces cerevisiae S288c
P54707	ATP12A	CHEMBL2933	Potassium-transporting ATPase alpha chain 2	9606	Homo sapiens
P55073	DIO3	CHEMBL3611	Type III iodothyronine deiodinase	9606	Homo sapiens
P55156	MTTP	CHEMBL2934	Microsomal triglyceride transfer protein large subunit	9913	Bos taurus
P55859	PNP	CHEMBL2935	Purine nucleoside phosphorylase	9913	Bos taurus
P77173	zipA	CHEMBL3954	Cell division protein zipA	83333	Escherichia coli K-12
P79208	PTGS2	CHEMBL4102	Cyclooxygenase-2	9940	Ovis aries
P79291	OPRD1	CHEMBL4103	Delta opioid receptor	9823	Sus scrofa
P79399	HTR1B	CHEMBL4104	Serotonin 1b (5-HT1b) receptor	9823	Sus scrofa
P79400	HTR1D	CHEMBL4105	Serotonin 1d (5-HT1d) receptor	9823	Sus scrofa
P80209	CTSD	CHEMBL4106	Cathepsin D	9913	Bos taurus
P98140	F12	CHEMBL3533	Coagulation factor XII	9913	Bos taurus
Q02485	Cacna1s	CHEMBL4108	Voltage-gated L-type calcium channel alpha-1S subunit	10116	Rattus norvegicus
Q14957	GRIN2C	CHEMBL4109	Glutamate [NMDA] receptor subunit epsilon 3	9606	Homo sapiens
Q27971	CAPN2	CHEMBL3612	Calpain 2	9913	Bos taurus
Q28037	VDR	CHEMBL3452	Vitamin D receptor	9913	Bos taurus
Q28642	BDKRB2	CHEMBL3453	Bradykinin B2 receptor	9986	Oryctolagus cuniculus
Q61603	Glra4	CHEMBL3500	Glycine receptor alpha-4 chain	10090	Mus musculus
Q63931	CCKAR	CHEMBL3501	Cholecystokinin A receptor	10141	Cavia porcellus
Q64077	TACR2	CHEMBL2647	Neurokinin 2 receptor	10141	Cavia porcellus
Q6IE76	fdft1	CHEMBL3605	Squalene synthetase	9913	Bos taurus
Q6W9J1	blaTEM-1	CHEMBL3652	Beta-lactamase TEM	550	Enterobacter cloacae
Q8BVW0	Ganc	CHEMBL3635	Neutral alpha-glucosidase C	10090	Mus musculus
Q9MYX2	CPT1	CHEMBL2981	Carnitine palmitoyltransferase 1A	9823	Sus scrofa
Q9R1M7	Grin3a	CHEMBL342	Glutamate [NMDA] receptor subunit 3A	10116	Rattus norvegicus
Q9TT92	ADAMTS5	CHEMBL2673	ADAMTS5	9913	Bos taurus
Q9TVW2	AK	CHEMBL2982	Adenosine kinase	5811	Toxoplasma gondii
Q9UBS0	RPS6KB2	CHEMBL3111	Ribosomal protein S6 kinase 2	9606	Homo sapiens
Q9ULZ9	MMP17	CHEMBL2937	Matrix metalloproteinase 17	9606	Homo sapiens
O30412	tycF	CHEMBL3939	Thioesterase GrsT homolog tycF	1393	Brevibacillus brevis
D3ZJF9	Gla	CHEMBL4110	Alpha-galactosidase A	10116	Rattus norvegicus
Q28997	ADRB2	CHEMBL3801	Beta-2 adrenergic receptor	9823	Sus scrofa
Q8IYB8	SUPV3L1	CHEMBL3642	Suv3 helicase	9606	Homo sapiens
P17597	ALS	CHEMBL4263	Acetolactate synthase	3702	Arabidopsis thaliana
Q9LM02	SMT1	CHEMBL4264	24-sterol C-methyltransferase	3702	Arabidopsis thaliana
Q8X6S1	mdaA	CHEMBL5502	Modulator of drug activity A	83334	Escherichia coli O157:H7
A1ZA98	Jhe	CHEMBL4265	CG8425-PA [Drosophila melanogaster]	7227	Drosophila melanogaster
Q8NWQ9	folA	CHEMBL3644	Dihydrofolate reductase	196620	Staphylococcus aureus subsp. aureus MW2
Q80Z39	Hcar2	CHEMBL4731	Hydroxycarboxylic acid receptor 2	10116	Rattus norvegicus
O68720	yopH	CHEMBL3646	Secreted effector protein	632	Yersinia pestis
O00555	CACNA1A	CHEMBL4266	Voltage-gated P/Q-type calcium channel alpha-1A subunit	9606	Homo sapiens
P00763	Prss2	CHEMBL4290	Trypsin II	10116	Rattus norvegicus
P0A725	lpxC	CHEMBL5244	UDP-3-O-acyl-GlcNAc deacetylase	83333	Escherichia coli K-12
P07947	YES1	CHEMBL2073	Tyrosine-protein kinase YES	9606	Homo sapiens
P9WNG3	fabH	CHEMBL3640	3-oxoacyl-[acyl-carrier-protein] synthase III	1773	Mycobacterium tuberculosis
P13866	SLC5A1	CHEMBL4979	Sodium/glucose cotransporter 1	9606	Homo sapiens
P14137	Cyp11a1	CHEMBL5246	Cytochrome P450 11A1	10116	Rattus norvegicus
P15474	aroQ	CHEMBL5276	3-dehydroquinate dehydratase	100226	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P24735	ampC	CHEMBL5031	Beta-lactamase	208964	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
P35499	SCN4A	CHEMBL2072	Sodium channel protein type IV alpha subunit	9606	Homo sapiens
P49366	DHPS	CHEMBL4415	Deoxyhypusine synthase	9606	Homo sapiens
P68402	PAFAH1B2	CHEMBL4463	Platelet-activating factor acetylhydrolase IB beta subunit	9606	Homo sapiens
Q01118	SCN7A	CHEMBL3585	Sodium channel protein type VII alpha subunit	9606	Homo sapiens
Q01320	Top2a	CHEMBL3586	DNA topoisomerase II alpha	10090	Mus musculus
Q02294	Cacna1b	CHEMBL5107	Voltage-gated N-type calcium channel alpha-1B subunit	10116	Rattus norvegicus
Q15102	PAFAH1B3	CHEMBL5108	Platelet-activating factor acetylhydrolase IB gamma subunit	9606	Homo sapiens
Q15858	SCN9A	CHEMBL4296	Sodium channel protein type IX alpha subunit	9606	Homo sapiens
Q28998	ADRB1	CHEMBL4351	Beta-1 adrenergic receptor	9823	Sus scrofa
Q5HMD9	murF	CHEMBL3641	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	176279	Staphylococcus epidermidis (strain ATCC 35984 / RP62A)
Q61224	Htr1d	CHEMBL4297	Serotonin 1d (5-HT1d) receptor	10090	Mus musculus
Q64511	Top2b	CHEMBL5564	DNA topoisomerase II beta	10090	Mus musculus
Q8P1K1	pheS	CHEMBL4690	Phenylalanyl-tRNA synthetase alpha chain	186103	Streptococcus pyogenes serotype M18 (strain MGAS8232)
Q96RI0	F2RL3	CHEMBL4691	Proteinase activated receptor 4	9606	Homo sapiens
Q99250	SCN2A	CHEMBL4187	Sodium channel protein type II alpha subunit	9606	Homo sapiens
Q9EQ60	Cacna1h	CHEMBL5134	Voltage-gated T-type calcium channel alpha-1H subunit	10116	Rattus norvegicus
Q9NY46	SCN3A	CHEMBL5163	Sodium channel protein type III alpha subunit	9606	Homo sapiens
Q9P8N8	FKS	CHEMBL2042	1,3-beta-glucan synthase	5478	Candida glabrata
Q9UI33	SCN11A	CHEMBL5167	Sodium channel protein type XI alpha subunit	9606	Homo sapiens
Q9UQD0	SCN8A	CHEMBL5202	Sodium channel protein type VIII alpha subunit	9606	Homo sapiens
Q9Y5Y9	SCN10A	CHEMBL5451	Sodium channel protein type X alpha subunit	9606	Homo sapiens
D3ZGQ2	Tk2	CHEMBL5489	Thymidine kinase 2	10116	Rattus norvegicus
Q9XDB3	pbpF	CHEMBL2565	Penicillin-binding protein 2b	1280	Staphylococcus aureus
P03354	gag-pol	CHEMBL2750	Rous sarcoma virus integrase	11888	Rous sarcoma virus (strain Prague C) (RSV-PrC)
O87171	lsdA	CHEMBL3908	Lignostilbene alpha, beta-dioxygenase	13689	Sphingomonas paucimobilis
P00800	npr	CHEMBL3392	Thermolysin	1427	Bacillus thermoproteolyticus
P62813	Gabra1	CHEMBL343	GABA receptor alpha-1 subunit	10116	Rattus norvegicus
P72355	pbp4	CHEMBL2549	Penicillin-binding protein 4	1280	Staphylococcus aureus
P07003	poxB	CHEMBL3380	Pyruvate oxidase	83333	Escherichia coli K-12
P51617	IRAK1	CHEMBL3357	Interleukin-1 receptor-associated kinase 1	9606	Homo sapiens
P41921	GLR1	CHEMBL4119	Glutathione reductase	559292	Saccharomyces cerevisiae S288c
P11716	RYR1	CHEMBL3288	Ryanodine receptor 1	9986	Oryctolagus cuniculus
P89582	pol	CHEMBL3463	Human immunodeficiency virus type 2 integrase	11709	Human immunodeficiency virus 2
B9V8S1	grik2	CHEMBL3395	Glutamate receptor ionotropic kainate 2	8355	Xenopus laevis
Q9NWZ3	IRAK4	CHEMBL3778	Interleukin-1 receptor-associated kinase 4	9606	Homo sapiens
P05555	Itgam	CHEMBL3603	Integrin alpha M	10090	Mus musculus
P97772	Grm1	CHEMBL2892	Metabotropic glutamate receptor 1	10090	Mus musculus
P09790	iga	CHEMBL3970	IgA protease	485	Neisseria gonorrhoeae
P05194	aroD	CHEMBL4709	Type 1 dehydroquinase	83333	Escherichia coli K-12
P30349	Lta4h	CHEMBL2400	Leukotriene A4 hydrolase	10116	Rattus norvegicus
P0A6B4	alr	CHEMBL2833	Alanine racemase	83333	Escherichia coli K-12
O02853	PTGDS	CHEMBL4651	Prostaglandin D2 synthase	9913	Bos taurus
P00336	LDHB	CHEMBL3823	L-lactate dehydrogenase B chain	9823	Sus scrofa
Q53729	pbp2	CHEMBL3825	Penicillin-binding protein 2	1280	Staphylococcus aureus
P11215	ITGAM	CHEMBL3826	Integrin alpha M	9606	Homo sapiens
Q8ZLS1	kdsD	CHEMBL3110	Arabinose 5-phosphate isomerase	99287	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P00438	pobA	CHEMBL3675	P-hydroxybenzoate hydroxylase	294	Pseudomonas fluorescens
Q03469	murI	CHEMBL3353	Glutamate racemase	1613	Lactobacillus fermentum
P90518	GSP	CHEMBL3354	Glutathionylspermidine synthase	5656	Crithidia fasciculata
Q53707	mecA	CHEMBL3512	Penicillin-binding protein 2a	1280	Staphylococcus aureus
Q6P7A9	Gaa	CHEMBL3513	Acidic alpha-glucosidase	10116	Rattus norvegicus
P50127	GGTA1	CHEMBL2942	N-acetyllactosaminide alpha-1,3-galactosyltransferase	9823	Sus scrofa
E1BN64	PDE3B	CHEMBL5129	Phosphodiesterase 3B	9913	Bos taurus
P02710	CHRNA1	CHEMBL3097	Acetylcholine receptor protein alpha chain	7787	Torpedo californica
P11880	murF	CHEMBL2540	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	83333	Escherichia coli K-12
Q9UBY5	LPAR3	CHEMBL3250	Lysophosphatidic acid receptor Edg-7	9606	Homo sapiens
P07639	aroB	CHEMBL3554	3-dehydroquinate synthase	83333	Escherichia coli K-12
P07896	Ehhadh	CHEMBL3232	Enoyl-CoA hydratase	10116	Rattus norvegicus
F4NA86	pbp1	CHEMBL3515	Penicillin-binding protein 1	93062	Staphylococcus aureus (strain COL)
P02718	chrnd	CHEMBL3916	Acetylcholine receptor protein delta chain	7787	Torpedo californica
O08590	Aoc3	CHEMBL4592	Amine oxidase, copper containing	10116	Rattus norvegicus
Q25270	beta-tubulin	CHEMBL3186	Beta tubulin	5661	Leishmania donovani
Q8FEJ5	ispD	CHEMBL5245	Cytidylyltransferase	199310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)
P20395	Fshr	CHEMBL4288	Follicle stimulating hormone receptor	10116	Rattus norvegicus
P22273	Il6r	CHEMBL4289	Interleukin-6 receptor alpha chain	10116	Rattus norvegicus
P30098	TACR3	CHEMBL3799	Neurokinin 3 receptor	10141	Cavia porcellus
Q16602	CALCRL	CHEMBL3798	Calcitonin gene-related peptide type 1 receptor	9606	Homo sapiens
Q99705	MCHR1	CHEMBL344	Melanin-concentrating hormone receptor 1	9606	Homo sapiens
O04417	ZmCDPK1	CHEMBL5560	CaM kinase I alpha	4577	Zea mays
P95029	fas	CHEMBL2011	Fatty acid synthase	1773	Mycobacterium tuberculosis
P38435	GGCX	CHEMBL2012	Vitamin K-dependent gamma-carboxylase	9606	Homo sapiens
O13423	GSL2	CHEMBL1909	Glucan synthase	5476	Candida albicans
P49895	DIO1	CHEMBL2019	Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI)	9606	Homo sapiens
O93874	17HSDcl	CHEMBL3925	17-beta-hydroxysteroid-dehydrogenase	5503	Cochliobolus lunatus
Q9C1S6	endom	CHEMBL4723	Endo-b-N-acetylglucosaminidase	64493	Mucor hiemalis
Q9BDQ5	BDKRB1	CHEMBL4724	Bradykinin B1 receptor	9615	Canis lupus familiaris
Q4FZV0	Manba	CHEMBL3431	Beta-mannosidase	10116	Rattus norvegicus
Q4ACT8	tACE	CHEMBL3432	Angiotensin-converting enzyme	9823	Sus scrofa
O70423	Aoc3	CHEMBL4727	Amine oxidase, copper containing	10090	Mus musculus
