#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
429,26750913,16758402,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.001,-15.4,,32.87,,12.26,,-14.02,,19.07,,21.42,,8.001,,
430,26750912,16758401,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,17.73,3.149,,5.523,,2.528,,4.281,,10.97,,-1.024,,17.73,,
431,26750911,16758400,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,24.53,-9.226,,5.745,,5.334,,10.76,,15.97,,-2.258,,24.53,,
432,26750910,16758399,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.402,-2.991,,-2.738,,-9.031,,-5.669,,8.963,,11.89,,-4.402,,
433,26750909,16758398,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,16.89,-10.88,,-10.09,,-14.29,,-0.7886,,4.666,,14.14,,16.89,,
434,26750908,16758397,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-0.762,-5.506,,-14.99,,-15.03,,-6.373,,-1.888,,4.341,,-0.762,,
435,26750907,16758396,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.15,9.361,,-7.12,,7.306,,2.839,,16.02,,-1.365,,10.15,,
436,26750906,16758395,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,19.92,0.5404,,-0.7035,,16.07,,0.4371,,20.6,,-8.483,,19.92,,
437,26750905,16758394,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-11.66,-2.789,,-7.968,,-15.4,,31.71,,26.86,,21.05,,-11.66,,
438,26750903,16758392,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.924,-2.162,,3.616,,-9.509,,-4.519,,4.514,,1.389,,8.924,,
439,26750902,16758391,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-6.449,-0.6772,,-0.4072,,-13.65,,-10.33,,-0.0337,,2.082,,-6.449,,
440,26750901,16758390,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,12.54,-4.118,,-4.632,,16.18,,-4.966,,-7.561,,-2.885,,12.54,,
441,26750900,16758389,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.771,3.645,,-2.993,,-11.42,,-16.85,,-9.485,,-22.45,,8.771,,
442,26750895,16758385,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-19.73,31.02,,5.018,,-1.706,,7.169,,27.24,,4.471,,-19.73,,
443,26750894,16758384,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-25.1,0.9526,,14.13,,-3.23,,12.22,,13.45,,-7.838,,-25.1,,
444,26750892,16758382,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.52,21.87,,21.47,,13.99,,24.33,,-6.909,,15.45,,-2.52,,
445,26750890,16758380,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.9353,7.7,,16.75,,-1.158,,10.93,,-12.6,,-8.315,,0.9353,,
446,26750889,16758379,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-16.62,0.2323,,-8.104,,-16.54,,25.44,,8.818,,-28.63,,-16.62,,
447,26750888,16758378,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.903,5.004,,-0.48,,5.715,,13.99,,40.64,,23.51,,-2.903,,
448,26750887,16758377,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-25.57,10.62,,17.79,,3.663,,-1.864,,-7.544,,13.84,,-25.57,,
449,26750886,16758376,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.53,-0.7972,,-15.52,,13.11,,1.429,,-3.68,,3.679,,13.53,,
450,26750877,16758368,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-28.08,15.11,,-6.577,,21.28,,7.905,,-4.511,,-13.42,,-28.08,,
451,26750874,16758365,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-3.157,9.912,,-1.667,,6.32,,6.966,,3.102,,-7.54,,-3.157,,
452,26750871,16758362,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-29.71,7.839,,5.743,,6.668,,-3.676,,12.7,,-1.553,,-29.71,,
453,26750868,6636316,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,24.71,1.744,,-14.8,,5.945,,-8.547,,-11.2,,-2.034,,24.71,,
454,26750867,16758359,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-20.24,6.971,,-4.406,,-11.14,,-9.755,,1.024,,18.7,,-20.24,,
455,26750866,6636192,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.7,-7.651,,-12.45,,-11.47,,-9.632,,8.218,,5.507,,10.7,,
456,26750865,6636174,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.748,-11.64,,-17.89,,-6.553,,-1.88,,9.146,,-2.634,,5.748,,
457,26750864,16758358,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-1.659,-19.04,,22.48,,21.21,,-5.33,,0.7942,,-5.974,,-1.659,,
458,26750863,16758357,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.9017,-6.418,,-7.881,,5.032,,5.327,,10.7,,10.86,,0.9017,,
459,26750859,16758354,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.78,11.66,,8.137,,-7.193,,4.33,,-1.331,,4.707,,14.78,,
460,26750858,16758353,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,19.59,8.015,,3.064,,-16.14,,0.9538,,13.26,,9.355,,19.59,,
461,26750857,16758352,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.786,-5.483,,1.174,,1.896,,19.16,,6.559,,11.93,,-5.786,,
462,26750856,16758351,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.767,0.9126,,-10.94,,-9.334,,-5.877,,6.675,,5.542,,5.767,,
463,26750855,16758350,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.119,8.54,,4.525,,6.101,,14.07,,22.29,,-4.827,,-7.119,,
464,26750854,16758349,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-6.208,-10.37,,-18.29,,-20.05,,-1.638,,3.055,,35.38,,-6.208,,
465,26750853,6419698,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-6.996,-16.8,,-2.27,,-3.818,,-11.92,,-16.89,,-16.91,,-6.996,,
466,26750852,16758348,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.504,-1.909,,2.459,,0.2989,,-8.581,,3.965,,3.862,,-5.504,,
467,26750851,6419696,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.91,-0.9236,,13.52,,-10.13,,-22.71,,9.398,,-10.87,,10.91,,
468,26750850,16758347,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.69,7.024,,-12.62,,-14.7,,2.406,,7.754,,-7.646,,14.69,,
469,26750849,16758346,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.4,-4.064,,-9.073,,8.314,,9.064,,6.488,,11.5,,-2.4,,
470,26750848,16758345,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-11.67,-3.405,,-11.33,,4.92,,-11.29,,13.61,,6.327,,-11.67,,
471,26750847,16758344,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,1.93,4.241,,7.504,,1.648,,5.055,,11.77,,13.46,,1.93,,
472,26750846,16758343,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.031,-10.76,,-10.46,,-5.785,,-3.12,,-19.65,,-10.57,,3.031,,
473,26750844,16758341,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.565,15.34,,-4.043,,-11.48,,2.301,,-4.132,,-14.03,,5.565,,
474,26750843,16758340,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.47,-12.31,,-11.68,,-0.2105,,-6.248,,-7.873,,1.908,,10.47,,
475,26750842,16758339,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.45,-1.305,,1.075,,-7.482,,-5.3,,-7.25,,7.824,,13.45,,
476,26750841,16758338,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.111,1.348,,14.56,,4.571,,7.179,,7.412,,11.06,,7.111,,
477,26750840,16758337,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.323,3.497,,-0.7408,,20.67,,-8.366,,13.72,,-8.008,,4.323,,
478,26750839,16758336,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-11.68,0.7587,,-7.418,,-19.85,,-24.66,,-14.71,,-12.82,,-11.68,,
479,26750838,16758335,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.2,18.74,,-15.22,,10.82,,-19.85,,15.21,,-7.523,,14.2,,
480,26750837,16758334,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,19.45,2.628,,-20.32,,-5.772,,-8.51,,-6.472,,-19.44,,19.45,,
481,26750836,16758333,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.442,4.522,,29.79,,14.26,,18.4,,12.54,,13.26,,-4.442,,
482,26750835,16758333,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-17.18,9.627,,-5.361,,2.354,,-6.332,,2.66,,0.9018,,-17.18,,
483,26750834,16758332,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,25.32,1.054,,-16.78,,21.79,,-9.224,,-7.343,,9.333,,25.32,,
484,26750833,6636937,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,18.64,7.691,,-23.32,,7.542,,-12.75,,-23.27,,-9.662,,18.64,,
485,26750832,16758331,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.544,-6.972,,-6.982,,-11.65,,-13.07,,-1.211,,-0.0087,,-8.544,,
486,26750831,16758330,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.39,-3.954,,-16.26,,-29.94,,-19.01,,-13.38,,-9.554,,14.39,,
487,26750830,16758329,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.444,8.17,,-8.281,,-8.738,,-14.57,,9.72,,12.62,,5.444,,
488,26750829,16758328,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-25.88,0.8291,,6.353,,7.718,,-4.409,,2.482,,-16.09,,-25.88,,
489,26750827,16758326,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.375,12.39,,5.353,,11.26,,10.29,,17.86,,-0.5294,,9.375,,
490,26750826,16758325,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.69,0.357,,-6.695,,11.25,,6.436,,-2.255,,-4.7,,10.69,,
491,26750825,16758324,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.452,-14.37,,-6.258,,6.247,,-6.426,,-14.26,,-11.69,,-4.452,,
492,26750824,16758323,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,1.793,-15.16,,2.457,,10.77,,-17.56,,-0.844,,-5.97,,1.793,,
493,26750823,16758322,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-24.77,-2.84,,-3.598,,10.91,,-9.209,,6.841,,-6.363,,-24.77,,
494,26750822,16758321,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,20.33,12.18,,-9.113,,3.807,,-14.83,,10.98,,-21.4,,20.33,,
495,26750821,16758320,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-12.09,5.752,,-16.07,,-11.56,,-3.937,,9.622,,-11.35,,-12.09,,
496,26750820,16758319,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-22.63,-2.207,,5.194,,1.581,,17.5,,28.71,,-1.538,,-22.63,,
497,26750819,16758318,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.052,-2.566,,-15.78,,18.74,,-7.34,,-10.24,,-6.278,,2.052,,
498,26750818,16758317,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-22.46,-18.04,,-9.746,,11.31,,-10.87,,-9.353,,-9.383,,-22.46,,
499,26750817,16758316,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.737,-5.565,,0.1986,,23.71,,-6.676,,-4.785,,-0.78,,-8.737,,
500,26750816,16758315,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.218,6.258,,0.9681,,23.31,,9.577,,5.994,,8.147,,5.218,,
501,26750815,16758314,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-14.49,0.7307,,1.694,,-9.025,,0.9367,,-3.202,,-9.81,,-14.49,,
502,26750814,16758314,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-11.85,9.312,,6.07,,21.15,,4.423,,6.36,,-7.202,,-11.85,,
503,26750813,16758313,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-17.61,-4.675,,13.36,,9.096,,-4.409,,-1.377,,13.27,,-17.61,,
504,26750812,16758312,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.115,-0.5023,,2.518,,0.5397,,-2.172,,5.393,,-16.87,,-2.115,,
505,26750811,16758311,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.126,8.218,,9.419,,23.42,,5.108,,6.143,,13.03,,-2.126,,
506,26750810,16758310,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.465,14.51,,3.741,,28.36,,-3.861,,30.78,,-5.849,,8.465,,
507,26750809,6419650,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.11,3.404,,-7.42,,10.51,,-1.285,,8.68,,-16.21,,-8.11,,
508,26750808,16758309,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.315,0.3214,,-4.509,,9.911,,-2.106,,6.513,,-3.557,,5.315,,
509,26750807,16758308,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-9.33,-4.273,,-5.462,,-2.548,,-2.51,,9.325,,-2.019,,-9.33,,
510,26750806,16758307,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.001,7.198,,-0.8819,,-2.412,,19.02,,6.482,,-10.67,,6.001,,
511,26750805,16758306,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.927,-0.2013,,18.95,,-5.909,,11.79,,14.59,,15.5,,-4.927,,
512,26750804,16758305,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-0.8163,1.208,,18.59,,-11.56,,13.58,,12.72,,7.268,,-0.8163,,
513,26750802,16758303,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.3067,-12.11,,-11.38,,-17.23,,-3.188,,-1.707,,1.737,,0.3067,,
514,26750801,16758302,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.228,-20.31,,-13.96,,-5.986,,4.718,,34.36,,17.51,,-4.228,,
515,26750800,16758301,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-0.5666,-13.18,,-8.311,,7.554,,-15.82,,18.18,,4.405,,-0.5666,,
516,26750799,16758300,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,15.06,-8.345,,-3.998,,-8.978,,-3.442,,-0.1976,,6.748,,15.06,,
517,26750798,16758299,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-0.5584,1.425,,-8.538,,-11.98,,-0.981,,20.34,,0.3551,,-0.5584,,
518,26750797,16758298,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-17.98,11.28,,0.8914,,-0.8292,,3.034,,12.49,,-0.9905,,-17.98,,
519,26750796,16758297,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-22.3,18.37,,16.29,,4.955,,9.573,,10.46,,-13.08,,-22.3,,
520,26750795,16758296,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.503,4.209,,-7.54,,-17.43,,-5.529,,23.14,,6.536,,-2.503,,
521,26750794,16758295,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.179,-13.07,,5.599,,-3.339,,40.07,,9.722,,54.6,,7.179,,
522,26750793,16758294,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.972,-2.666,,9.54,,-5.814,,2.495,,3.428,,8.194,,-4.972,,
523,26750792,16758293,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.376,-17.98,,-6.727,,1.501,,7.701,,11.77,,17.51,,-7.376,,
524,26750791,16758292,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.341,8.144,,-9.18,,-3.924,,10.7,,0.8988,,2.767,,2.341,,
525,26750790,16758291,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.872,2.873,,-0.6569,,3.465,,7.237,,12.04,,-8.57,,3.872,,
526,26750788,16758289,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.519,1.13,,2.849,,-10.49,,1.756,,18.52,,13.38,,6.519,,
527,26750787,16758288,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.5,-9.009,,0.7863,,2.374,,11.86,,15.79,,-2.915,,14.5,,
528,26750786,16758287,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.778,-0.3779,,-0.5327,,-14.98,,0.6266,,5.495,,0.7699,,5.778,,
529,26750785,16758287,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.378,-11.27,,2.817,,-4.939,,5.316,,-0.8629,,-7.005,,-5.378,,
530,26750784,16758286,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.14,8.509,,8.335,,5.223,,13.44,,8.678,,-1.759,,10.14,,
531,26750783,6636553,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-20.15,0.3412,,-12.95,,-14.11,,-13.69,,-9.952,,6.618,,-20.15,,
532,26750782,16758285,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.4679,10.85,,-3.965,,6.219,,-6.34,,23.78,,-14.13,,0.4679,,
533,26750781,16758284,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.057,-6.869,,9.688,,-9.059,,15.33,,19.13,,16.83,,7.057,,
534,26750779,16758282,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.19,-6.131,,-16.45,,-20.45,,-5.513,,0.3958,,6.448,,13.19,,
535,26750778,16758281,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.76,-6.887,,-10.53,,-8.486,,-11.34,,7.466,,-5.312,,13.76,,
536,26750777,16758280,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-9.912,-9.444,,-10.27,,-3.771,,-8.304,,-4.863,,-4.993,,-9.912,,
537,26750776,16758279,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.75,20.41,,-7.338,,8.912,,14.9,,26.6,,-3.493,,13.75,,
538,26750775,16758278,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.011,10.71,,-12.77,,-7.052,,-3.509,,8.746,,-9.343,,-7.011,,
539,26750774,16758277,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,28.58,0.746,,-1.917,,4.302,,2.998,,4.971,,-2.364,,28.58,,
540,26750773,16758276,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-22.8,-3.178,,9.169,,25.94,,3.66,,4.475,,-20.01,,-22.8,,
541,26750772,16758275,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10,-5.921,,-9.685,,17.93,,-5.254,,17.05,,3.891,,10,,
542,26750771,16758274,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.301,-2.619,,-10.88,,0.868,,-6.145,,-3.102,,-4.466,,-4.301,,
543,26750770,16758273,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.562,1.63,,4.723,,-8.503,,23,,-2.968,,6.614,,9.562,,
544,26750769,16758272,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-13.29,-12.28,,-9.283,,7.949,,-4.841,,-1.277,,-4.71,,-13.29,,
545,26750768,16758271,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,12.42,11.04,,-12.07,,9.415,,-6.499,,11.33,,0.8482,,12.42,,
546,26750767,16758270,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.793,7.869,,-8.602,,0.8791,,0.9696,,6.904,,6.142,,-7.793,,
547,26750766,16758269,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,23.41,1.088,,17.42,,-5.625,,11.44,,8.282,,15.19,,23.41,,
548,26750765,16758268,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.673,5.567,,12.52,,10.58,,-5.415,,-1.317,,-9.368,,6.673,,
549,26750764,16758267,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-9.131,-8.403,,-9.753,,-16.29,,-9.192,,-11.36,,1.008,,-9.131,,
550,26750763,16758266,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.42,20.5,,3.385,,-0.1403,,-1.051,,7.649,,-4.109,,10.42,,
551,26750762,16758265,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.721,-26.01,,-16.26,,-18.15,,-13.81,,1.103,,2.898,,-2.721,,
552,26750761,16758264,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-24.94,11.44,,-20.37,,-11.31,,-6.501,,-13.91,,-10.44,,-24.94,,
553,26750759,16758262,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.99,11.86,,-5.884,,12.06,,2.189,,-0.6418,,-8.029,,10.99,,
554,26750758,16758262,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-12.76,1.099,,-0.8064,,8.247,,-5.687,,-5.174,,1.017,,-12.76,,
555,26750757,16758261,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,15.4,-2.383,,14.29,,1.438,,14.5,,16.23,,6.307,,15.4,,
556,26750756,16758260,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.918,-8.683,,-2.573,,13.53,,-2.824,,-14.15,,-11.86,,-8.918,,
557,26750755,16758260,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.811,9.875,,4.993,,27.39,,20.88,,12.03,,15.92,,7.811,,
558,26750754,16758259,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.35,8.107,,-2.497,,-9.738,,-11.57,,-1.65,,-8.427,,14.35,,
559,26750753,16758259,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-13.49,10.2,,-14.67,,7.08,,-4.234,,8.771,,-2.137,,-13.49,,
560,26750750,16758257,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.772,-13.99,,0.1775,,19.81,,-5.065,,-7.773,,-10.42,,-2.772,,
561,26750749,16758256,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.25,-7.991,,-3.586,,-8.484,,-9.606,,-5.384,,0.3139,,10.25,,
562,26750748,16758255,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.63,5.466,,-6.182,,-25.09,,10.64,,16.44,,-9.279,,14.63,,
563,26750747,16758254,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.165,8.144,,4.686,,7.703,,-6.667,,11.56,,5.711,,3.165,,
564,26750746,16758253,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,12.46,21.43,,-0.1106,,11.22,,-2.575,,33.69,,5.98,,12.46,,
565,26750745,16758253,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.928,2.433,,12.07,,-1.182,,12.66,,7.595,,2.031,,-2.928,,
566,26750744,6419589,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-22.22,8.397,,33.03,,4.996,,38.84,,4.035,,-1.897,,-22.22,,
567,26750743,16758252,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-2.616,-5.405,,1.912,,10.93,,8.468,,16.17,,0.7354,,-2.616,,
568,26750742,16758251,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,10.69,-3.577,,-0.1673,,6.452,,14.89,,4.408,,0.7145,,10.69,,
569,26750741,16758250,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,8.364,-5.913,,7.591,,6.413,,5.177,,2.825,,2.424,,8.364,,
570,26750740,16758249,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,11.91,-5.573,,6.392,,12.78,,4.124,,-0.4798,,-5.508,,11.91,,
571,26750739,16758248,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,12.35,3.799,,1.792,,1.064,,3.204,,6.816,,-3.011,,12.35,,
572,26750738,16758247,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.149,3.116,,-2.689,,10.52,,6.071,,5.043,,-4.138,,9.149,,
573,26750737,16758246,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.052,2.926,,4.189,,2.969,,6.794,,10.61,,6.321,,6.052,,
